"","variable","Scenario","cgdppc","christians_share","muslims_share","nonrelig_share","hindus_share","buddists_share","folk_share","other_share","jews_share","urbanisation","Meat live weight, cattle","Meat live weight, pig","Meat live weight, chicken","Meat live weight, goat","deflated"
"1","2010","SSP2",1624.26745778091,0.628784656,0.30194596,0.031893817,0.001896126,0.000194474,0.032829725,0.002333694,0.000121547,36.1489168998443,99.9999959818958,100.000013075123,99.9999940357485,100.000006156311,NA
"2","2010","SSP4",1624.26745778091,0.628784656,0.30194596,0.031893817,0.001896126,0.000194474,0.032829725,0.002333694,0.000121547,36.1489168998443,99.9999959818958,100.000013075123,99.9999940357485,100.000006156311,NA
"3","2010","SSP1",1624.26745778091,0.628784656,0.30194596,0.031893817,0.001896126,0.000194474,0.032829725,0.002333694,0.000121547,36.1489168998443,99.9999959818958,100.000013075123,99.9999940357485,100.000006156311,NA
"4","2010","SSP3",1624.26745778091,0.628784656,0.30194596,0.031893817,0.001896126,0.000194474,0.032829725,0.002333694,0.000121547,36.1489168998443,99.9999959818958,100.000013075123,99.9999940357485,100.000006156311,NA
"5","2010","SSP5",1624.26745778091,0.628784656,0.30194596,0.031893817,0.001896126,0.000194474,0.032829725,0.002333694,0.000121547,36.1489168998443,99.9999959818958,100.000013075123,99.9999940357485,100.000006156311,NA
"6","2015","SSP3",1991.14646296567,0.624343326,0.3081507025,0.0308810325,0.0017345715,0.000178271,0.0323547635,0.0022536585,0.0001036735,38.7756124602741,99.9999959818958,100.000013075123,99.9999940357485,100.000006156311,1.04285
"7","2015","SSP4",1983.05322499455,0.624343326,0.3081507025,0.0308810325,0.0017345715,0.000178271,0.0323547635,0.0022536585,0.0001036735,38.7756124602741,99.9999959818958,100.000013075123,99.9999940357485,100.000006156311,1.04285
"8","2015","SSP5",2104.50424557095,0.624343326,0.3081507025,0.0308810325,0.0017345715,0.000178271,0.0323547635,0.0022536585,0.0001036735,38.7756124602741,99.9999959818958,100.000013075123,99.9999940357485,100.000006156311,1.04285
"9","2015","SSP1",2100.87770216772,0.624343326,0.3081507025,0.0308810325,0.0017345715,0.000178271,0.0323547635,0.0022536585,0.0001036735,38.7756124602741,99.9999959818958,100.000013075123,99.9999940357485,100.000006156311,1.04285
"10","2015","SSP2",2038.87786136011,0.624343326,0.3081507025,0.0308810325,0.0017345715,0.000178271,0.0323547635,0.0022536585,0.0001036735,38.7756124602741,99.9999959818958,100.000013075123,99.9999940357485,100.000006156311,1.04285
"11","2020","SSP2",2412.26503054141,0.619901996,0.314355445,0.029868248,0.001573017,0.000162068,0.031879802,0.002173623,8.58e-05,41.4495586215257,99.9999892850554,100.000034866995,99.9999840953292,100.000016416828,1.09889430894309
"12","2020","SSP5",2634.25632201986,0.619901996,0.314355445,0.029868248,0.001573017,0.000162068,0.031879802,0.002173623,8.58e-05,41.4495586215257,99.9999892850554,100.000034866995,99.9999840953292,100.000016416828,1.09889430894309
"13","2020","SSP3",2239.27963476065,0.619901996,0.314355445,0.029868248,0.001573017,0.000162068,0.031879802,0.002173623,8.58e-05,41.4495586215257,99.9999892850554,100.000034866995,99.9999840953292,100.000016416828,1.09889430894309
"14","2020","SSP4",2231.19370289312,0.619901996,0.314355445,0.029868248,0.001573017,0.000162068,0.031879802,0.002173623,8.58e-05,41.4495586215257,99.9999892850554,100.000034866995,99.9999840953292,100.000016416828,1.09889430894309
"15","2020","SSP1",2600.80474432378,0.619901996,0.314355445,0.029868248,0.001573017,0.000162068,0.031879802,0.002173623,8.58e-05,41.4495586215257,99.9999892850554,100.000034866995,99.9999840953292,100.000016416828,1.09889430894309
"16","2025","SSP1",3210.94213043248,0.6139867045,0.3210231175,0.0292074905,0.0014481625,0.000153701,0.0319802275,0.0021270995,7.35e-05,44.1892374167713,99.9999825882151,100.000056658867,99.99997415491,100.000026677346,1.14899166666667
"17","2025","SSP4",2449.67571743103,0.6139867045,0.3210231175,0.0292074905,0.0014481625,0.000153701,0.0319802275,0.0021270995,7.35e-05,44.1892374167713,99.9999825882151,100.000056658867,99.99997415491,100.000026677346,1.14899166666667
"18","2025","SSP2",2830.65210790736,0.6139867045,0.3210231175,0.0292074905,0.0014481625,0.000153701,0.0319802275,0.0021270995,7.35e-05,44.1892374167713,99.9999825882151,100.000056658867,99.99997415491,100.000026677346,1.14899166666667
"19","2025","SSP3",2441.33134819203,0.6139867045,0.3210231175,0.0292074905,0.0014481625,0.000153701,0.0319802275,0.0021270995,7.35e-05,44.1892374167713,99.9999825882151,100.000056658867,99.99997415491,100.000026677346,1.14899166666667
"20","2025","SSP5",3335.24407270184,0.6139867045,0.3210231175,0.0292074905,0.0014481625,0.000153701,0.0319802275,0.0021270995,7.35e-05,44.1892374167713,99.9999825882151,100.000056658867,99.99997415491,100.000026677346,1.14899166666667
"21","2030","SSP3",2626.19487861355,0.608071413,0.32769079,0.028546733,0.001323308,0.000145334,0.032080653,0.002080576,6.12e-05,46.9681770464154,99.9999758913747,100.000078450739,99.9999642144907,100.000036937864,1.20362195121951
"22","2030","SSP1",3975.46110122909,0.608071413,0.32769079,0.028546733,0.001323308,0.000145334,0.032080653,0.002080576,6.12e-05,46.9681770464154,99.9999758913747,100.000078450739,99.9999642144907,100.000036937864,1.20362195121951
"23","2030","SSP5",4279.3560277738,0.608071413,0.32769079,0.028546733,0.001323308,0.000145334,0.032080653,0.002080576,6.12e-05,46.9681770464154,99.9999758913747,100.000078450739,99.9999642144907,100.000036937864,1.20362195121951
"24","2030","SSP2",3317.13911459214,0.608071413,0.32769079,0.028546733,0.001323308,0.000145334,0.032080653,0.002080576,6.12e-05,46.9681770464154,99.9999758913747,100.000078450739,99.9999642144907,100.000036937864,1.20362195121951
"25","2030","SSP4",2676.1489812847,0.608071413,0.32769079,0.028546733,0.001323308,0.000145334,0.032080653,0.002080576,6.12e-05,46.9681770464154,99.9999758913747,100.000078450739,99.9999642144907,100.000036937864,1.20362195121951
"26","2035","SSP5",5506.20870488344,0.6019968105,0.334319046,0.028021798,0.001229408,0.0001354025,0.032197792,0.002047189,5.255e-05,49.7504535163423,99.9999588287188,100.000082207589,99.9999631481004,100.000050252932,1.25052083333333
"27","2035","SSP2",3877.80758815961,0.6019968105,0.334319046,0.028021798,0.001229408,0.0001354025,0.032197792,0.002047189,5.255e-05,49.7504535163423,99.9999588287188,100.000082207589,99.9999631481004,100.000050252932,1.25052083333333
"28","2035","SSP1",4906.61778023117,0.6019968105,0.334319046,0.028021798,0.001229408,0.0001354025,0.032197792,0.002047189,5.255e-05,49.7504535163423,99.9999588287188,100.000082207589,99.9999631481004,100.000050252932,1.25052083333333
"29","2035","SSP4",2926.89490200727,0.6019968105,0.334319046,0.028021798,0.001229408,0.0001354025,0.032197792,0.002047189,5.255e-05,49.7504535163423,99.9999588287188,100.000082207589,99.9999631481004,100.000050252932,1.25052083333333
"30","2035","SSP3",2808.19436574927,0.6019968105,0.334319046,0.028021798,0.001229408,0.0001354025,0.032197792,0.002047189,5.255e-05,49.7504535163423,99.9999588287188,100.000082207589,99.9999631481004,100.000050252932,1.25052083333333
"31","2040","SSP1",6006.28288608099,0.595922208,0.340947302,0.027496863,0.001135508,0.000125471,0.032314931,0.002013802,4.39e-05,52.5176987258172,99.9999609127118,100.000075789004,99.999966685743,100.000036753748,1.30297967479675
"32","2040","SSP3",2975.64353522233,0.595922208,0.340947302,0.027496863,0.001135508,0.000125471,0.032314931,0.002013802,4.39e-05,52.5176987258172,99.9999609127118,100.000075789004,99.999966685743,100.000036753748,1.30297967479675
"33","2040","SSP5",7044.87559599435,0.595922208,0.340947302,0.027496863,0.001135508,0.000125471,0.032314931,0.002013802,4.39e-05,52.5176987258172,99.9999609127118,100.000075789004,99.999966685743,100.000036753748,1.30297967479675
"34","2040","SSP2",4515.98015343245,0.595922208,0.340947302,0.027496863,0.001135508,0.000125471,0.032314931,0.002013802,4.39e-05,52.5176987258172,99.9999609127118,100.000075789004,99.999966685743,100.000036753748,1.30297967479675
"35","2040","SSP4",3194.20815252449,0.595922208,0.340947302,0.027496863,0.001135508,0.000125471,0.032314931,0.002013802,4.39e-05,52.5176987258172,99.9999609127118,100.000075789004,99.999966685743,100.000036753748,1.30297967479675
"36","2045","SSP3",3130.27575281243,0.5907014775,0.346716835,0.0270276585,0.0010677645,0.0001206315,0.032334122,0.001991132,4.035e-05,55.286514324613,99.9999633392564,100.000089021681,99.9999675895042,100.000038725851,1.36955284552846
"37","2045","SSP1",7290.87991178655,0.5907014775,0.346716835,0.0270276585,0.0010677645,0.0001206315,0.032334122,0.001991132,4.035e-05,55.286514324613,99.9999633392564,100.000089021681,99.9999675895042,100.000038725851,1.36955284552846
"38","2045","SSP2",5240.44889996508,0.5907014775,0.346716835,0.0270276585,0.0010677645,0.0001206315,0.032334122,0.001991132,4.035e-05,55.286514324613,99.9999633392564,100.000089021681,99.9999675895042,100.000038725851,1.36955284552846
"39","2045","SSP5",8945.61330909347,0.5907014775,0.346716835,0.0270276585,0.0010677645,0.0001206315,0.032334122,0.001991132,4.035e-05,55.286514324613,99.9999633392564,100.000089021681,99.9999675895042,100.000038725851,1.36955284552846
"40","2045","SSP4",3479.23958280631,0.5907014775,0.346716835,0.0270276585,0.0010677645,0.0001206315,0.032334122,0.001991132,4.035e-05,55.286514324613,99.9999633392564,100.000089021681,99.9999675895042,100.000038725851,1.36955284552846
"41","2050","SSP5",11242.9023283613,0.585480747,0.352486368,0.026558454,0.001000021,0.000115792,0.032353313,0.001968462,3.68e-05,58.0506553746308,99.999965765801,100.000102254358,99.9999684932653,100.000040697954,1.43224390243902
"42","2050","SSP4",3786.78558857784,0.585480747,0.352486368,0.026558454,0.001000021,0.000115792,0.032353313,0.001968462,3.68e-05,58.0506553746308,99.999965765801,100.000102254358,99.9999684932653,100.000040697954,1.43224390243902
"43","2050","SSP2",6053.35799252275,0.585480747,0.352486368,0.026558454,0.001000021,0.000115792,0.032353313,0.001968462,3.68e-05,58.0506553746308,99.999965765801,100.000102254358,99.9999684932653,100.000040697954,1.43224390243902
"44","2050","SSP3",3274.17553689241,0.585480747,0.352486368,0.026558454,0.001000021,0.000115792,0.032353313,0.001968462,3.68e-05,58.0506553746308,99.999965765801,100.000102254358,99.9999684932653,100.000040697954,1.43224390243902
"45","2050","SSP1",8771.37943047476,0.585480747,0.352486368,0.026558454,0.001000021,0.000115792,0.032353313,0.001968462,3.68e-05,58.0506553746308,99.999965765801,100.000102254358,99.9999684932653,100.000040697954,1.43224390243902
