"","Year","Reference_country","Scenario","Type","Total_kg"
"48",2015,"CH","SSP2","beef",7029135839.10989
"49",2020,"CH","SSP2","beef",8292364152.88612
"50",2025,"CH","SSP2","beef",9697692956.892
"51",2030,"CH","SSP2","beef",11255852024.3659
"52",2040,"CH","SSP2","beef",14732899992.2446
"53",2050,"CH","SSP2","beef",18327387934.0804
"104",2015,"BR","SSP2","beef",18514622851.7115
"105",2020,"BR","SSP2","beef",23250533238.8558
"106",2025,"BR","SSP2","beef",28799625699.8382
"107",2030,"BR","SSP2","beef",35307375472.0152
"108",2040,"BR","SSP2","beef",51032275843.8538
"109",2050,"BR","SSP2","beef",59933836286.5369
"157",2015,"EG","SSP2","beef",8203552879.74294
"158",2020,"EG","SSP2","beef",9827094114.69657
"159",2025,"EG","SSP2","beef",11665373989.3681
"160",2030,"EG","SSP2","beef",13745374933.9098
"161",2040,"EG","SSP2","beef",18539234487.3416
"162",2050,"EG","SSP2","beef",23759238118.0689
"210",2015,"VN","SSP2","beef",3623237906.02859
"211",2020,"VN","SSP2","beef",4654090107.18348
"212",2025,"VN","SSP2","beef",6241525102.74716
"213",2030,"VN","SSP2","beef",8734100847.51109
"214",2040,"VN","SSP2","beef",18416964246.2151
"215",2050,"VN","SSP2","beef",39344257470.5552
"266",2015,"CH","SSP2","pork",18963453066.0009
"267",2020,"CH","SSP2","pork",24065233839.3228
"268",2025,"CH","SSP2","pork",29913011444.0071
"269",2030,"CH","SSP2","pork",36535798737.7001
"270",2040,"CH","SSP2","pork",51043571269.0761
"271",2050,"CH","SSP2","pork",57929958942.8522
"319",2015,"BR","SSP2","pork",6479024934.50754
"320",2020,"BR","SSP2","pork",8173491624.24648
"321",2025,"BR","SSP2","pork",10167165741.4798
"322",2030,"BR","SSP2","pork",12516657541.17
"323",2040,"BR","SSP2","pork",18244026437.1624
"324",2050,"BR","SSP2","pork",24948175300.8778
"372",2015,"EG","SSP2","pork",1475177825.74506
"373",2020,"EG","SSP2","pork",1655953510.44709
"374",2025,"EG","SSP2","pork",1842985241.88793
"375",2030,"EG","SSP2","pork",2033819923.43258
"376",2040,"EG","SSP2","pork",2415850341.08479
"377",2050,"EG","SSP2","pork",2777420678.22069
"425",2015,"VN","SSP2","pork",22118778613.4057
"426",2020,"VN","SSP2","pork",27522115124.171
"427",2025,"VN","SSP2","pork",33353835421.4622
"428",2030,"VN","SSP2","pork",39370852626.8337
"429",2040,"VN","SSP2","pork",49193768328.0122
"430",2050,"VN","SSP2","pork",47985761735.491
"478",2015,"CH","SSP2","poultry",9407211025.31686
"479",2020,"CH","SSP2","poultry",11668910212.2869
"480",2025,"CH","SSP2","poultry",14272635516.1143
"481",2030,"CH","SSP2","poultry",17258006995.26
"482",2040,"CH","SSP2","poultry",24136164618.415
"483",2050,"CH","SSP2","poultry",31251732697.6468
"531",2015,"BR","SSP2","poultry",8553528003.73704
"532",2020,"BR","SSP2","poultry",10772316522.4733
"533",2025,"BR","SSP2","poultry",13448817683.5544
"534",2030,"BR","SSP2","poultry",16714592393.0002
"535",2040,"BR","SSP2","poultry",25337406621.488
"536",2050,"BR","SSP2","poultry",37213469706.0887
"584",2015,"EG","SSP2","poultry",7728200151.45104
"585",2020,"EG","SSP2","poultry",9862836284.43117
"586",2025,"EG","SSP2","poultry",12534203371.9394
"587",2030,"EG","SSP2","poultry",15942535194.56
"588",2040,"EG","SSP2","poultry",25725667274.1443
"589",2050,"EG","SSP2","poultry",41046433242.908
"637",2015,"VN","SSP2","poultry",7679971790.93009
"638",2020,"VN","SSP2","poultry",9009495857.72552
"639",2025,"VN","SSP2","poultry",10264742067.5492
"640",2030,"VN","SSP2","poultry",11270852617.0719
"641",2040,"VN","SSP2","poultry",11249655862.0327
"642",2050,"VN","SSP2","poultry",5060258102.05736
"690",2015,"CH","SSP2","mutton",3103392664.21455
"691",2020,"CH","SSP2","mutton",3757969743.6895
"692",2025,"CH","SSP2","mutton",4498175150.17003
"693",2030,"CH","SSP2","mutton",5330587543.98097
"694",2040,"CH","SSP2","mutton",7195026794.23509
"695",2050,"CH","SSP2","mutton",9041585781.01302
"743",2015,"BR","SSP2","mutton",1456965753.82228
"744",2020,"BR","SSP2","mutton",1635509639.94774
"745",2025,"BR","SSP2","mutton",1820232337.66709
"746",2030,"BR","SSP2","mutton",2008711035.48896
"747",2040,"BR","SSP2","mutton",2386025028.23189
"748",2050,"BR","SSP2","mutton",2743131534.04513
"796",2015,"EG","SSP2","mutton",1456965753.82228
"797",2020,"EG","SSP2","mutton",1635509639.94774
"798",2025,"EG","SSP2","mutton",1820232337.66709
"799",2030,"EG","SSP2","mutton",2008711035.48896
"800",2040,"EG","SSP2","mutton",2386025028.23189
"801",2050,"EG","SSP2","mutton",2743131534.04513
"849",2015,"VN","SSP2","mutton",1453993907.34736
"850",2020,"VN","SSP2","mutton",1654856055.38226
"851",2025,"VN","SSP2","mutton",1879585128.3544
"852",2030,"VN","SSP2","mutton",2136722771.61717
"853",2040,"VN","SSP2","mutton",2797297284.11363
"854",2050,"VN","SSP2","mutton",3780584331.51528
