Scenario,Year,pcgdp
SSP1,2010,2284.306387
SSP1,2015,2954.592441
SSP1,2020,3657.67033
SSP1,2025,4515.743747
SSP1,2030,5590.933402
SSP1,2035,6900.475829
SSP1,2040,8447.001933
SSP1,2045,10253.60908
SSP1,2050,12335.72584
SSP1,2055,14680.02319
SSP1,2060,17248.69386
SSP1,2065,19995.55713
SSP1,2070,22899.0283
SSP1,2075,25946.83273
SSP1,2080,29120.36876
SSP1,2085,32410.3827
SSP1,2090,35781.78315
SSP1,2095,39199.98951
SSP1,2100,42633.89574
SSP2,2010,2284.306387
SSP2,2015,2867.398283
SSP2,2020,3392.515431
SSP2,2025,3980.918695
SSP2,2030,4665.095042
SSP2,2035,5453.597311
SSP2,2040,6351.09831
SSP2,2045,7369.962892
SSP2,2050,8513.206527
SSP2,2055,9786.399433
SSP2,2060,11180.73373
SSP2,2065,12686.24505
SSP2,2070,14302.75252
SSP2,2075,16041.13249
SSP2,2080,17910.56481
SSP2,2085,19924.08477
SSP2,2090,22074.26038
SSP2,2095,24349.89625
SSP2,2100,26757.98402
SSP3,2010,2284.306387
SSP3,2015,2800.270707
SSP3,2020,3149.235519
SSP3,2025,3433.393167
SSP3,2030,3693.378024
SSP3,2035,3949.335002
SSP3,2040,4184.828982
SSP3,2045,4402.2977
SSP3,2050,4604.672743
SSP3,2055,4802.516689
SSP3,2060,4995.426966
SSP3,2065,5182.239075
SSP3,2070,5360.980346
SSP3,2075,5530.07743
SSP3,2080,5691.255797
SSP3,2085,5850.380637
SSP3,2090,6011.618459
SSP3,2095,6173.747004
SSP3,2100,6340.408214
SSP4,2010,2284.306387
SSP4,2015,2788.888693
SSP4,2020,3137.86378
SSP4,2025,3445.128362
SSP4,2030,3763.631525
SSP4,2035,4116.270806
SSP4,2040,4492.209733
SSP4,2045,4893.066817
SSP4,2050,5325.587521
SSP4,2055,5803.777745
SSP4,2060,6277.082993
SSP4,2065,6746.256964
SSP4,2070,7227.007818
SSP4,2075,7742.6712
SSP4,2080,8300.038712
SSP4,2085,8903.336728
SSP4,2090,9555.119947
SSP4,2095,10249.15183
SSP4,2100,10986.48882
SSP5,2010,2284.306387
SSP5,2015,2959.69267
SSP5,2020,3704.715323
SSP5,2025,4690.557149
SSP5,2030,6018.319371
SSP5,2035,7743.717114
SSP5,2040,9907.638203
SSP5,2045,12580.76157
SSP5,2050,15811.57923
SSP5,2055,19610.37099
SSP5,2060,23950.56629
SSP5,2065,28772.55985
SSP5,2070,34047.79133
SSP5,2075,39750.91003
SSP5,2080,45937.37433
SSP5,2085,52833.00491
SSP5,2090,60634.55443
SSP5,2095,69546.85967
SSP5,2100,79802.12354
